timestamp,simbolo,precio_entrada,RSI,ATR,ADX,volumen,Hurst,Pendiente_Reg,R2_Tendencia,CRT_Valida,prob_subida_predicha,precio_futuro,exito_real
2026-09-16T05:04:23.829133+00:00,USDC/USDT,1.0006,66.66666666666666,0.0001785714285714089,27.138218923933206,983383.62,0.16154747533154515,2.1278195488712876e-05,0.5107488823840772,0.0,7.608782,,
2026-09-17T04:17:39.180975+00:00,XMR/USDT,501.29,38.13148788927339,10.720000000000008,62.101736993146844,301.648,-0.03539816208970897,-1.0758571428571588,0.637830777776104,0.0,61.437,,
2026-09-17T16:18:13.678022+00:00,PIEVERSE/USDT,1.1602,47.299885101493665,0.04594999999999997,21.875606314347092,93217.9,0.10554543616136472,0.001109624060150376,0.11044307361656272,0.0,19.134245,,
2026-09-19T04:17:17.790743+00:00,PIEVERSE/USDT,1.711,77.44021348660578,0.12462142857142852,31.382988498515605,65269.67,0.2647251533492098,0.028995939849624057,0.629213605138755,1.0,20.853432,,
2026-09-19T04:25:46.951272+00:00,AAVE/USDT,143.199,96.50957116465551,3.8961428571428534,49.40705790907989,2381.2854,0.43218401359579706,1.3220285714285684,0.8611991345377383,0.0,25.871866,,
2026-09-19T04:25:49.951219+00:00,ENA/USDT,0.1786,78.15442561205273,0.007750000000000001,74.62962141087326,1742711.22,0.4877322515687927,0.001955187969924813,0.9135111956643375,0.0,30.498713,,
2026-09-19T04:25:50.969603+00:00,LTC/USDT,58.63,93.82871536523935,0.9707142857142854,56.07907518531236,2153.776,0.563132393672627,0.4113157894736834,0.9086583814206809,1.0,34.047256,,
2026-09-19T04:25:55.131923+00:00,ASTER/USDT,0.7749,91.13636363636371,0.015600000000000003,69.4521318268696,112293.26,0.5355497511710768,0.005598571428571416,0.9022902438336082,1.0,33.240215,,
2026-09-19T04:34:29.825598+00:00,AAVE/USDT,142.369,94.42434146531271,3.9450714285714232,49.40705790907989,3160.8079,0.43218401359579706,1.3220285714285684,0.8611991345377383,0.0,25.871866,,
2026-09-19T04:34:32.964288+00:00,ENA/USDT,0.1761,74.64028776978418,0.007957142857142857,74.62962141087326,2208051.54,0.4877322515687927,0.001955187969924813,0.9135111956643375,1.0,39.03285,,
2026-09-19T04:34:34.038753+00:00,LTC/USDT,58.46,91.86189889025897,0.9921428571428567,56.07907518531236,2668.835,0.563132393672627,0.4113157894736834,0.9086583814206809,1.0,35.018543,,
2026-09-19T04:34:38.387982+00:00,ASTER/USDT,0.7738,90.01122334455677,0.015821428571428573,69.4521318268696,208441.06,0.5355497511710768,0.005598571428571416,0.9022902438336082,0.0,33.87868,,
